番号	カテゴリ	質問内容そのもの
2-16	マイニング・PoW・ブロック生成	ソロマイニングとマイニングプールは何が違いますか？
2-17	マイニング・PoW・ブロック生成	マイニングプールがブロックを発見した場合、報酬は誰のものになりますか？
2-18	マイニング・PoW・ブロック生成	マイニングプールが51%以上を占めたら、その運営会社がBitcoinを自由に変更できますか？
2-19	マイニング・PoW・ブロック生成	マイナーは好きなトランザクションだけをブロックに入れてよいのですか？
2-20	マイニング・PoW・ブロック生成	手数料の高いトランザクションは必ず先に承認されますか？
2-21	マイニング・PoW・ブロック生成	ブロック報酬とblock subsidyは同じ意味ですか？
2-22	マイニング・PoW・ブロック生成	coinbase transactionとはCoinbase取引所と関係がありますか？
2-23	マイニング・PoW・ブロック生成	マイナー自身がcoinbase transactionの金額を自由に決められますか？
2-24	マイニング・PoW・ブロック生成	同時に2人のマイナーがブロックを発見したらどうなりますか？
2-25	マイニング・PoW・ブロック生成	一度採掘されたブロックが後から無効になることはありますか？
2-26	マイニング・PoW・ブロック生成	Bitcoinでは「一番長いチェーン」が正しいチェーンなのですか？
2-27	マイニング・PoW・ブロック生成	マイナーが全員停止した場合、Bitcoinに保存されているBTCは消えますか？
2-28	マイニング・PoW・ブロック生成	半分のマイナーが突然停止したら、ブロック生成時間はどうなりますか？
2-29	マイニング・PoW・ブロック生成	難易度調整までブロック生成が遅い状態が続くことはありますか？
2-30	マイニング・PoW・ブロック生成	すべてのBTCが発行されたあと、マイナーは何を収入源にするのでしょうか？
2-31	マイニング・PoW・ブロック生成	マイニング報酬が減り続けるとBitcoinのセキュリティは必ず低下しますか？
2-32	マイニング・PoW・ブロック生成	ビットコインは新しいコインが発行されなくなったらマイナーがいなくなるのでは？
2-33	マイニング・PoW・ブロック生成	マイニングで使っている計算能力をAIや科学計算などの「役に立つ計算」に使えないのですか？
2-34	マイニング・PoW・ブロック生成	Bitcoinのマイニング計算は結果を捨てているので完全な無駄なのですか？
2-35	マイニング・PoW・ブロック生成	マイナーとマイニングプールは同じものですか？
2-36	マイニング・PoW・ブロック生成	マイニングプールの運営者と実際にハッシュを計算するマイナーは、それぞれ何を決められますか？
2-37	マイニング・PoW・ブロック生成	Stratumとは何ですか？
2-38	マイニング・PoW・ブロック生成	Stratum V2は従来のマイニングと何が違いますか？
2-39	マイニング・PoW・ブロック生成	マイニングプールは特定のユーザーのトランザクションを検閲できますか？
2-40	マイニング・PoW・ブロック生成	すべての大手マイニングプールが同じトランザクションを検閲したらどうなりますか？
2-41	マイニング・PoW・ブロック生成	BitcoinにもEthereumで言われるMEVは存在しますか？
2-42	マイニング・PoW・ブロック生成	selfish miningとは何ですか？
2-43	マイニング・PoW・ブロック生成	block withholding attackとは何ですか？
2-44	マイニング・PoW・ブロック生成	マイナーがブロックの時刻を自由に設定してBitcoinの時計を操作できますか？
2-45	マイニング・PoW・ブロック生成	Median Time Past（MTP）とは何ですか？
2-46	マイニング・PoW・ブロック生成	coinbase transactionで得たBTCはすぐに使えますか？
3-1	トランザクション・UTXO・手数料	ビットコインのトランザクションはどのような構造になっていますか？
3-2	トランザクション・UTXO・手数料	UTXOとは何ですか？
3-3	トランザクション・UTXO・手数料	アカウントモデルとUTXOモデルの違いは何ですか？
3-4	トランザクション・UTXO・手数料	ビットコインのトランザクション手数料は誰が決めていますか？
3-5	トランザクション・UTXO・手数料	手数料を0 sat/vBにして送金できますか？
3-6	トランザクション・UTXO・手数料	mempoolとは何ですか？
3-7	トランザクション・UTXO・手数料	未承認トランザクションはキャンセルできますか？
3-8	トランザクション・UTXO・手数料	RBF（Replace-by-Fee）とは何ですか？
3-9	トランザクション・UTXO・手数料	CPFP（Child Pays for Parent）とは何ですか？
3-10	トランザクション・UTXO・手数料	ビットコインのトランザクションが「確定した」とは何を意味しますか？
3-11	トランザクション・UTXO・手数料	6 confirmationsなら絶対に取り消されませんか？
3-12	トランザクション・UTXO・手数料	Bitcoinでは「自分の残高」というデータがブロックチェーンに保存されているのですか？
3-13	トランザクション・UTXO・手数料	0.1 BTC持っている人が0.01 BTC送ると、残りの0.09 BTCはどうなりますか？
3-14	トランザクション・UTXO・手数料	お釣り用のアドレスとは何ですか？
3-15	トランザクション・UTXO・手数料	1つのトランザクションで複数人に送金できますか？
3-16	トランザクション・UTXO・手数料	1つの支払いに複数のUTXOを使うことはできますか？
3-17	トランザクション・UTXO・手数料	UTXOがたくさんあると手数料が高くなるのはなぜですか？
3-18	トランザクション・UTXO・手数料	BTCを大量に送るほど手数料は高くなりますか？
3-19	トランザクション・UTXO・手数料	1 BTC送る場合と100 BTC送る場合で手数料は違いますか？
3-20	トランザクション・UTXO・手数料	sat/vBとは何ですか？
3-21	トランザクション・UTXO・手数料	vByteとByteは何が違いますか？
3-22	トランザクション・UTXO・手数料	dustとは何ですか？
3-23	トランザクション・UTXO・手数料	Bitcoinで1 satoshiだけ送ることはできますか？
3-24	トランザクション・UTXO・手数料	トランザクションID（txid）とは何ですか？
3-25	トランザクション・UTXO・手数料	txidとwtxidは何が違いますか？
3-26	トランザクション・UTXO・手数料	同じUTXOを2回使おうとするとどうなりますか？
3-27	トランザクション・UTXO・手数料	double spendとは何ですか？
3-28	トランザクション・UTXO・手数料	未承認トランザクションがmempoolから消えることはありますか？
3-29	トランザクション・UTXO・手数料	mempoolはBitcoinネットワーク全体で1つだけ存在するのですか？
3-30	トランザクション・UTXO・手数料	自分のノードのmempoolと他人のノードのmempoolが違うことはありますか？
3-31	トランザクション・UTXO・手数料	ブロックチェーンに入っていないトランザクションでも受け取ったと判断してよい場合はありますか？
3-32	トランザクション・UTXO・手数料	ビットコインは送金先を間違えたら取り消せないのですか？
3-33	トランザクション・UTXO・手数料	Bitcoinのトランザクションには有効期限がありますか？
3-34	トランザクション・UTXO・手数料	nLockTimeとは何ですか？
3-35	トランザクション・UTXO・手数料	absolute timelockとrelative timelockは何が違いますか？
3-36	トランザクション・UTXO・手数料	CSVとCLTVは何が違いますか？
3-37	トランザクション・UTXO・手数料	transaction pinningとは何ですか？
3-38	トランザクション・UTXO・手数料	package relayとは何ですか？
3-39	トランザクション・UTXO・手数料	親トランザクション単体ではmempoolに入らない場合でもCPFPできますか？
3-40	トランザクション・UTXO・手数料	standard transactionでないトランザクションは無効なBitcoinトランザクションなのですか？
3-41	トランザクション・UTXO・手数料	ノードがrelayしないトランザクションでもブロックに含めることはできますか？
3-42	トランザクション・UTXO・手数料	OP_RETURNとは何ですか？
3-43	トランザクション・UTXO・手数料	BitcoinのブロックチェーンにはBitcoin送金以外のデータも書き込めますか？
3-44	トランザクション・UTXO・手数料	トランザクションをbatchすると手数料を節約できるのはなぜですか？
3-45	トランザクション・UTXO・手数料	UTXO consolidationとは何ですか？いつ行うべきですか？
4-1	アドレス・鍵・暗号	ビットコインアドレスにはどんな種類がありますか？
4-2	アドレス・鍵・暗号	Legacy、P2SH、SegWit、Taprootアドレスの違いは何ですか？
4-3	アドレス・鍵・暗号	秘密鍵と公開鍵とビットコインアドレスの関係を説明してください。
4-4	アドレス・鍵・暗号	秘密鍵を紛失した場合、ビットコインを復旧できますか？
4-5	アドレス・鍵・暗号	Bitcoinアドレスは銀行口座番号のようなものですか？
4-6	アドレス・鍵・暗号	Bitcoinアドレスそのものがブロックチェーン上に保存されているのですか？
4-7	アドレス・鍵・暗号	1つの秘密鍵から複数のBitcoinアドレスを作れますか？
4-8	アドレス・鍵・暗号	同じBitcoinアドレスを何度も使っても問題ありませんか？
4-9	アドレス・鍵・暗号	アドレスを再利用するとどんな問題がありますか？
4-10	アドレス・鍵・暗号	Bitcoinアドレスから秘密鍵を計算できますか？
4-11	アドレス・鍵・暗号	公開鍵から秘密鍵を求めることはできますか？
4-12	アドレス・鍵・暗号	Bitcoinアドレスから公開鍵を必ず知ることができますか？
4-13	アドレス・鍵・暗号	Bitcoinの署名は何を証明しているのですか？
4-14	アドレス・鍵・暗号	Bitcoinの署名から秘密鍵がネットワークに公開されることはありませんか？
4-15	アドレス・鍵・暗号	BitcoinはRSAを使っていますか？
4-16	アドレス・鍵・暗号	ECDSAとは何ですか？
4-17	アドレス・鍵・暗号	Schnorr署名とは何ですか？
4-18	アドレス・鍵・暗号	TaprootではECDSAが使われなくなったのですか？
4-19	アドレス・鍵・暗号	Bitcoinアドレスの文字を1文字間違えると、他人に送金される可能性がありますか？
4-20	アドレス・鍵・暗号	Base58Checkとは何ですか？
4-21	アドレス・鍵・暗号	Bech32とBech32mは何が違いますか？
4-22	アドレス・鍵・暗号	xpubを他人に教えるとBTCを盗まれますか？
4-23	アドレス・鍵・暗号	xpubを公開することにはどんなプライバシー上の問題がありますか？
4-24	アドレス・鍵・暗号	multisigでは秘密鍵を1個失っても資金を使える場合がありますか？
4-25	アドレス・鍵・暗号	Miniscriptとは何ですか？
4-26	アドレス・鍵・暗号	MiniscriptとBitcoin Scriptは何が違いますか？
4-27	アドレス・鍵・暗号	Bitcoin Scriptは一般的なプログラミング言語と何が違いますか？
5-1	ウォレット・シード・鍵管理	シードフレーズとは何ですか？
5-2	ウォレット・シード・鍵管理	12単語と24単語のシードフレーズは安全性がどのくらい違いますか？
5-3	ウォレット・シード・鍵管理	BIP32、BIP39、BIP44はそれぞれ何を規定していますか？
5-4	ウォレット・シード・鍵管理	ハードウェアウォレットはなぜ安全だと言われるのですか？
5-5	ウォレット・シード・鍵管理	ウォレットアプリの会社が倒産すると、自分のビットコインも失われますか？
5-6	ウォレット・シード・鍵管理	Bitcoinウォレットの中にBTCそのものが保存されているのですか？
5-7	ウォレット・シード・鍵管理	ウォレットを削除するとBitcoinも消えますか？
5-8	ウォレット・シード・鍵管理	スマートフォンを紛失したらBitcoinも失いますか？
5-9	ウォレット・シード・鍵管理	シードフレーズさえあれば別のウォレットで復元できますか？
5-10	ウォレット・シード・鍵管理	シードフレーズを写真で保存しても安全ですか？
5-11	ウォレット・シード・鍵管理	シードフレーズをクラウドに保存するとどんなリスクがありますか？
5-12	ウォレット・シード・鍵管理	BIP39 passphraseとは何ですか？
5-13	ウォレット・シード・鍵管理	BIP39 passphraseを忘れた場合、シードフレーズだけで復元できますか？
5-14	ウォレット・シード・鍵管理	「25番目の単語」と呼ばれるものは何ですか？
5-15	ウォレット・シード・鍵管理	HD Walletとは何ですか？
5-16	ウォレット・シード・鍵管理	ウォレットは毎回新しい受取アドレスを生成できますが、なぜ同じバックアップで復元できるのですか？
5-17	ウォレット・シード・鍵管理	watch-only walletとは何ですか？
5-18	ウォレット・シード・鍵管理	watch-only walletからBitcoinを送金できますか？
5-19	ウォレット・シード・鍵管理	hot walletとcold walletの違いは何ですか？
5-20	ウォレット・シード・鍵管理	hardware walletをパソコンにつないだら秘密鍵がパソコンにコピーされませんか？
5-21	ウォレット・シード・鍵管理	hardware walletのメーカーが倒産したら資金を失いますか？
5-22	ウォレット・シード・鍵管理	hardware wallet自体が壊れたらどうなりますか？
5-23	ウォレット・シード・鍵管理	coin controlとは何ですか？
5-24	ウォレット・シード・鍵管理	PSBTとは何ですか？
5-25	ウォレット・シード・鍵管理	multisig walletをバックアップするとき、シードフレーズだけ保存しておけば十分ですか？
5-26	ウォレット・シード・鍵管理	Output Script Descriptorとは何ですか？
5-27	ウォレット・シード・鍵管理	descriptorとBitcoinアドレスは何が違いますか？
5-28	ウォレット・シード・鍵管理	multisig walletでは秘密鍵をすべて持っていても、descriptorを失うと復元が難しくなることがありますか？
5-29	ウォレット・シード・鍵管理	Electrumのseed phraseはBIP39のseed phraseと同じですか？
5-30	ウォレット・シード・鍵管理	BIP39ではないseed phraseも存在しますか？
5-31	ウォレット・シード・鍵管理	シードフレーズをサイコロで生成することはできますか？
5-32	ウォレット・シード・鍵管理	ハードウェアウォレット自身が悪い乱数を生成していた場合、どんな問題が起こりますか？
5-33	ウォレット・シード・鍵管理	multisigで複数メーカーのhardware walletを使うメリットはありますか？
5-34	ウォレット・シード・鍵管理	wallet descriptorが他人に漏れるとBitcoinを盗まれますか？
5-35	ウォレット・シード・鍵管理	wallet descriptorが漏れるとプライバシーに影響しますか？
5-36	ウォレット・シード・鍵管理	Bitcoinを相続できるようにするにはどのような方法がありますか？
6-1	ノード・コンセンサス・ネットワーク	Bitcoin Coreとは何ですか？
6-2	ノード・コンセンサス・ネットワーク	フルノードを動かすメリットは何ですか？
6-3	ノード・コンセンサス・ネットワーク	フルノードとマイナーは何が違いますか？
6-4	ノード・コンセンサス・ネットワーク	ビットコインのコンセンサスルールは誰が変更できますか？
6-5	ノード・コンセンサス・ネットワーク	Bitcoinのフルノードは何を検証していますか？
6-6	ノード・コンセンサス・ネットワーク	フルノードを動かすとBitcoinをマイニングできますか？
6-7	ノード・コンセンサス・ネットワーク	Bitcoin CoreをインストールするとBitcoinがもらえますか？
6-8	ノード・コンセンサス・ネットワーク	フルノードは全トランザクションを信用せずに自分で検証しているのですか？
6-9	ノード・コンセンサス・ネットワーク	フルノードは必ずブロックチェーン全体を永久に保存する必要がありますか？
6-10	ノード・コンセンサス・ネットワーク	pruned nodeとは何ですか？
6-11	ノード・コンセンサス・ネットワーク	UTXO setとは何ですか？
6-12	ノード・コンセンサス・ネットワーク	Initial Block Downloadとは何ですか？
6-13	ノード・コンセンサス・ネットワーク	SPV walletとフルノードは何が違いますか？
6-14	ノード・コンセンサス・ネットワーク	Bitcoinのノード同士はどうやって見つけ合うのですか？
6-15	ノード・コンセンサス・ネットワーク	Bitcoinには中央サーバーがありますか？
6-16	ノード・コンセンサス・ネットワーク	インターネットから一部のBitcoinノードが切断されてもネットワークは動き続けますか？
6-17	ノード・コンセンサス・ネットワーク	自分のノードだけ別のチェーンを正しいと思うことはありますか？
6-18	ノード・コンセンサス・ネットワーク	chain reorganizationとは何ですか？
6-19	ノード・コンセンサス・ネットワーク	ノードはマイナーが作ったブロックなら無条件で受け入れるのですか？
6-20	ノード・コンセンサス・ネットワーク	51%のマイナーが無効なブロックを作ったらフルノードは受け入れますか？
6-21	ノード・コンセンサス・ネットワーク	Bitcoin Coreの開発者がルールを変更したら全利用者に強制されますか？
6-22	ノード・コンセンサス・ネットワーク	ノード数が多ければBitcoinの安全性は必ず高くなりますか？
6-23	ノード・コンセンサス・ネットワーク	Bitcoinのルール変更は多数決で決まるのですか？
6-24	ノード・コンセンサス・ネットワーク	「ユーザー」「ノード運営者」「マイナー」「開発者」はそれぞれどのような役割を持っていますか？
6-25	ノード・コンセンサス・ネットワーク	フルノードを動かすとトランザクション手数料をもらえますか？
6-26	ノード・コンセンサス・ネットワーク	フルノードを動かすだけでBitcoinネットワークのトランザクションを「承認」していることになりますか？
6-27	ノード・コンセンサス・ネットワーク	自分のフルノードから送金すると手数料が無料になりますか？
6-28	ノード・コンセンサス・ネットワーク	DNS seedとは何ですか？
6-29	ノード・コンセンサス・ネットワーク	Bitcoinノードは初回起動時にどうやって他のノードを見つけますか？
6-30	ノード・コンセンサス・ネットワーク	eclipse attackとは何ですか？
6-31	ノード・コンセンサス・ネットワーク	攻撃者に自分のノードの接続先をすべて支配されたら何が起こりますか？
6-32	ノード・コンセンサス・ネットワーク	BitcoinのP2P通信は暗号化されていますか？
6-33	ノード・コンセンサス・ネットワーク	BIP324とは何ですか？
6-34	ノード・コンセンサス・ネットワーク	compact block relayとは何ですか？
6-35	ノード・コンセンサス・ネットワーク	AssumeUTXOとは何ですか？
6-36	ノード・コンセンサス・ネットワーク	フルノードの同期を高速化しても検証を省略しない方法はありますか？
7-1	SegWit・Taproot・プロトコル変更	SegWitはなぜ導入されたのですか？
7-2	SegWit・Taproot・プロトコル変更	Taprootによって何が変わりましたか？
7-3	SegWit・Taproot・プロトコル変更	Bitcoinは一度公開されたら仕様変更できないのですか？
7-4	SegWit・Taproot・プロトコル変更	BIPとは何ですか？
7-5	SegWit・Taproot・プロトコル変更	BIPを書いた人がBitcoinの仕様を決められるのですか？
7-6	SegWit・Taproot・プロトコル変更	soft forkとは何ですか？
7-7	SegWit・Taproot・プロトコル変更	hard forkとは何ですか？
7-8	SegWit・Taproot・プロトコル変更	soft forkなら必ず全員がアップデートしなくてもよいのですか？
7-9	SegWit・Taproot・プロトコル変更	Bitcoin Cashが生まれたのはsoft forkですか、hard forkですか？
7-10	SegWit・Taproot・プロトコル変更	SegWitはブロックサイズを大きくしたのですか？
7-11	SegWit・Taproot・プロトコル変更	SegWitのblock weightとは何ですか？
7-12	SegWit・Taproot・プロトコル変更	witness dataとは何ですか？
7-13	SegWit・Taproot・プロトコル変更	SegWitはtransaction malleabilityをどのように改善しましたか？
7-14	SegWit・Taproot・プロトコル変更	SegWit導入前のアドレスからSegWitアドレスへ送金できますか？
7-15	SegWit・Taproot・プロトコル変更	Taprootは何を目的として導入されたのですか？
7-16	SegWit・Taproot・プロトコル変更	TaprootではなぜSchnorr署名が採用されたのですか？
7-17	SegWit・Taproot・プロトコル変更	Taprootを使うと複数署名が必ず普通の送金と区別できなくなりますか？
7-18	SegWit・Taproot・プロトコル変更	Taprootを使えばBitcoin上で複雑なスマートコントラクトが何でも実行できますか？
7-19	SegWit・Taproot・プロトコル変更	Tapscriptとは何ですか？
7-20	SegWit・Taproot・プロトコル変更	Taprootのkey-path spendとscript-path spendは何が違いますか？
7-21	SegWit・Taproot・プロトコル変更	新しいBIPが公開されたらBitcoin Coreに必ず実装されますか？
7-22	SegWit・Taproot・プロトコル変更	Bitcoinのアップグレードで意見が割れた場合、誰が最終決定するのですか？
7-23	SegWit・Taproot・プロトコル変更	Bitcoinにおけるcovenantとは何ですか？
7-24	SegWit・Taproot・プロトコル変更	covenantを導入するとBitcoinで何ができるようになりますか？
7-25	SegWit・Taproot・プロトコル変更	OP_CHECKTEMPLATEVERIFY（CTV）とは何ですか？
7-26	SegWit・Taproot・プロトコル変更	OP_CHECKSIGFROMSTACK（CSFS）とは何ですか？
7-27	SegWit・Taproot・プロトコル変更	OP_CATとは何ですか？
7-28	SegWit・Taproot・プロトコル変更	OP_CATは昔のBitcoinに存在していたのですか？
7-29	SegWit・Taproot・プロトコル変更	OP_CATを有効化するとBitcoinで何が変わりますか？
7-30	SegWit・Taproot・プロトコル変更	covenantは現在のBitcoinメインネットですでに利用できますか？
7-31	SegWit・Taproot・プロトコル変更	Bitcoin Coreにコードが実装されたら、それだけでsoft forkは有効になりますか？
7-32	SegWit・Taproot・プロトコル変更	soft fork activationにはどんな方法がありますか？
7-33	SegWit・Taproot・プロトコル変更	miner signalingはBitcoinのルール変更に対する投票ですか？
7-34	SegWit・Taproot・プロトコル変更	BIP番号が割り当てられた機能はBitcoinに採用されたという意味ですか？
8-1	Lightning Network	Lightning Networkとは何ですか？
8-2	Lightning Network	Lightning Networkの支払いはビットコインのブロックチェーン上に毎回記録されますか？
8-3	Lightning Network	Lightningのinvoice、payment hash、preimageの関係を説明してください。
8-4	Lightning Network	Lightning Networkを使えば、ビットコインの送金速度や手数料の問題はすべて解決するのですか？
8-5	Lightning Network	Lightning Networkを使うには最初にオンチェーントランザクションが必要ですか？
8-6	Lightning Network	payment channelとは何ですか？
8-7	Lightning Network	Lightning channelを開くとBTCはどこに行くのですか？
8-8	Lightning Network	channelを閉じるとBitcoinはどうなりますか？
8-9	Lightning Network	Lightningの支払いはマイナーに承認してもらう必要がありますか？
8-10	Lightning Network	Lightningなら必ず一瞬で送金できますか？
8-11	Lightning Network	Lightningなら手数料は必ず0円ですか？
8-12	Lightning Network	Lightningで1 BTCを送るには1 BTC以上のチャネル容量が必要ですか？
8-13	Lightning Network	inbound liquidityとは何ですか？
8-14	Lightning Network	outbound liquidityとは何ですか？
8-15	Lightning Network	Bitcoinを持っているのにLightningで支払えないことがあるのはなぜですか？
8-16	Lightning Network	Lightningでは直接チャネルを開いていない相手にも支払えますか？
8-17	Lightning Network	Lightningのroutingとは何ですか？
8-18	Lightning Network	中継ノードは送金者と受取人のBitcoinを盗めますか？
8-19	Lightning Network	HTLCとは何ですか？
8-20	Lightning Network	HTLCでpayment hashとpreimageはどのように使われますか？
8-21	Lightning Network	Lightning invoiceを他人に見せても安全ですか？
8-22	Lightning Network	Lightning invoiceには有効期限がありますか？
8-23	Lightning Network	同じLightning invoiceを何度も支払えますか？
8-24	Lightning Network	Lightningの支払いに失敗する主な理由には何がありますか？
8-25	Lightning Network	force closeとは何ですか？
8-26	Lightning Network	cooperative closeとは何ですか？
8-27	Lightning Network	Lightningノードをずっとオンラインにしておく必要がありますか？
8-28	Lightning Network	watchtowerとは何ですか？
8-29	Lightning Network	古いchannel stateを公開するとどうなりますか？
8-30	Lightning Network	BOLT11とは何ですか？
8-31	Lightning Network	BOLT12とは何ですか？
8-32	Lightning Network	Lightning AddressはBitcoinのプロトコルそのものですか？
8-33	Lightning Network	Lightning Networkの「channel capacity」と「liquidity」は同じですか？
8-34	Lightning Network	ネットワーク全体のLightning capacityを見れば、実際に送れる金額が分かりますか？
8-35	Lightning Network	Lightningで受け取るためにはなぜinbound liquidityが必要なのですか？
8-36	Lightning Network	channelを開いただけでinbound liquidityは得られますか？
8-37	Lightning Network	submarine swapとは何ですか？
8-38	Lightning Network	Loop InとLoop Outは何をするものですか？
8-39	Lightning Network	Lightning Service Provider（LSP）とは何ですか？
8-40	Lightning Network	trampoline routingとは何ですか？
8-41	Lightning Network	trampoline routingを使うと何をサーバー側に任せることになりますか？
8-42	Lightning Network	Lightningのgossip networkには何が流れていますか？
8-43	Lightning Network	private channelはネットワークのchannel graphに表示されますか？
8-44	Lightning Network	splicingとは何ですか？
8-45	Lightning Network	channelを閉じずにBitcoinを追加・取り出すことはできますか？
8-46	Lightning Network	multipath paymentとは何ですか？
8-47	Lightning Network	AMPとは何ですか？
8-48	Lightning Network	route blindingとは何ですか？
8-49	Lightning Network	blinded pathは受取人のプライバシーをどう改善しますか？
8-50	Lightning Network	onion messageとは何ですか？
8-51	Lightning Network	BOLT12 OfferとBOLT11 invoiceは何が違いますか？
8-52	Lightning Network	BOLT12なら同じOfferを繰り返し使えますか？
8-53	Lightning Network	Lightningで定期支払い・サブスクリプションを実現できますか？
8-54	Lightning Network	Lightningで支払いが失敗してもBitcoinを失うことがありますか？
9-1	仕様・実装・情報源・ハルシネーション検出	「Bitcoinの仕様として公式に決まっていること」と「Bitcoin Coreの実装上そうなっているだけのこと」は、どう区別すればよいですか？
9-2	仕様・実装・情報源・ハルシネーション検出	BitcoinにはRFCのような唯一の公式仕様書がありますか？
9-3	仕様・実装・情報源・ハルシネーション検出	Bitcoin Whitepaperは現在のBitcoinの完全な仕様書ですか？
9-4	仕様・実装・情報源・ハルシネーション検出	Bitcoin Whitepaperと現在のBitcoinの動作が異なる部分はありますか？
9-5	仕様・実装・情報源・ハルシネーション検出	BIPはすべてBitcoinの仕様として採用されているのですか？
9-6	仕様・実装・情報源・ハルシネーション検出	BIPに「Final」と書かれていればBitcoinで必ず使われていますか？
